timestep,label,count,mean_score,median_score,max_score
1,illicit,17,0.938397,0.98238903,0.997823
1,licit,2130,0.0024956288,9.607056e-05,0.2501509
1,unknown,5733,0.0356364,0.0063241497,0.9962333
2,illicit,18,0.9788091,0.9890965,0.99776614
2,licit,1099,0.002878638,6.739266e-05,0.6229127
2,unknown,3427,0.052857906,0.005468437,0.99533194
3,illicit,11,0.97466296,0.9864065,0.99733716
3,licit,1268,0.0019633374,0.00014246724,0.33420333
3,unknown,5342,0.0356419,0.0017684321,0.9924314
4,illicit,30,0.96727556,0.9782398,0.9979049
4,licit,1410,0.0035883414,0.00014721882,0.6674209
4,unknown,4253,0.03300401,0.0017280598,0.9957004
5,illicit,8,0.9289027,0.9291556,0.98865664
5,licit,1874,0.0022926736,0.000112582115,0.44196197
5,unknown,4921,0.027007913,0.003343209,0.9950871
6,illicit,5,0.9811455,0.99943286,0.99986327
6,licit,480,0.0049235895,0.00023136174,0.54146683
6,unknown,3843,0.026855862,0.0013144321,0.99980205
7,illicit,102,0.98751897,0.99964285,0.9999405
7,licit,1101,0.008953259,8.04585e-05,0.8642178
7,unknown,4845,0.105561376,0.0142621705,0.99983704
8,illicit,67,0.9761882,0.99903405,0.99990857
8,licit,1098,0.009968265,0.00019969796,0.7351387
8,unknown,3292,0.14816172,0.019444909,0.999908
9,illicit,248,0.99693054,0.99962646,0.9999348
9,licit,530,0.013260644,0.0005134659,0.9949032
9,unknown,4218,0.14317343,0.016137594,0.9999217
10,illicit,18,0.9766561,0.99945766,0.9999124
10,licit,954,0.0043776166,7.00044e-05,0.7254592
10,unknown,5755,0.12602448,0.0074153338,0.9999175
11,illicit,131,0.99461436,0.9996276,0.9999249
11,licit,565,0.0109132165,0.00016896614,0.6553865
11,unknown,3600,0.1484413,0.021458415,0.99993753
12,illicit,16,0.9862653,0.9983789,0.9999244
12,licit,490,0.003207466,7.2284274e-05,0.20040403
12,unknown,1541,0.17961629,0.02694844,0.9997193
13,illicit,291,0.994019,0.9997272,0.999943
13,licit,518,0.015006839,0.00015358964,0.71078014
13,unknown,3719,0.20188682,0.029154737,0.99989283
14,illicit,43,0.9837282,0.99945956,0.99989736
14,licit,374,0.011853482,0.00013969315,0.7453305
14,unknown,1605,0.12488076,0.019828327,0.99986136
15,illicit,147,0.9956298,0.99966276,0.9999473
15,licit,471,0.01075238,0.00020619232,0.4889361
15,unknown,3021,0.10874002,0.014212147,0.99992466
16,illicit,128,0.9909972,0.9996736,0.99993813
16,licit,402,0.017181246,0.00035234,0.59658694
16,unknown,2445,0.12183532,0.0123525355,0.9999367
17,illicit,99,0.9964908,0.99959725,0.999907
17,licit,712,0.014511815,0.0002212552,0.63809717
17,unknown,2574,0.16641998,0.03873011,0.9998858
18,illicit,52,0.9939858,0.99934316,0.99991035
18,licit,337,0.010693101,0.00024820075,0.35445276
18,unknown,1587,0.13100329,0.009614541,0.9999105
19,illicit,80,0.98795956,0.99898005,0.9998604
19,licit,665,0.013092269,0.00018486156,0.58981407
19,unknown,2761,0.14582536,0.024143199,0.99982077
20,illicit,260,0.9889559,0.9994016,0.99995387
20,licit,640,0.01940237,0.00072553696,0.838123
20,unknown,3391,0.20291537,0.05179718,0.9999294
21,illicit,100,0.98910767,0.9994372,0.9999285
21,licit,541,0.02051179,0.0007531942,0.6345348
21,unknown,2896,0.19339138,0.0442681,0.9999516
22,illicit,158,0.9921286,0.9994939,0.9999523
22,licit,1605,0.010464722,0.00017581011,0.8285545
22,unknown,4131,0.20284852,0.066057645,0.99972826
23,illicit,53,0.95358056,0.9956474,0.99991584
23,licit,1134,0.0117364265,0.0004308104,0.55555916
23,unknown,2978,0.13779879,0.03280484,0.9999125
24,illicit,137,0.98322845,0.99818134,0.9999336
24,licit,989,0.018119305,0.0003846377,0.7326357
24,unknown,3466,0.14980298,0.023147829,0.99990606
25,illicit,118,0.99272215,0.99951595,0.9999553
25,licit,476,0.008094023,0.00017603091,0.9062079
25,unknown,1720,0.19375888,0.043990742,0.9998667
26,illicit,96,0.9852807,0.9987601,0.99994683
26,licit,421,0.0262565,0.00080760755,0.711285
26,unknown,2006,0.28068972,0.1423381,0.9999368
27,illicit,24,0.9926944,0.9992428,0.9999316
27,licit,182,0.0056268135,0.00027536985,0.2062637
27,unknown,883,0.15108444,0.03964916,0.99969625
28,illicit,85,0.9989759,0.9997795,0.9999362
28,licit,199,0.014430934,0.0003265304,0.7866977
28,unknown,1369,0.211994,0.07934868,0.9997198
29,illicit,329,0.9920875,0.9986896,0.9998678
29,licit,845,0.021802604,0.00081278366,0.87255305
29,unknown,3101,0.25342906,0.07693511,0.9999039
30,illicit,83,0.9803804,0.9988819,0.99988055
30,licit,441,0.024308756,0.000527409,0.61358196
30,unknown,1959,0.2924231,0.14591894,0.9998596
31,illicit,106,0.9888583,0.99789983,0.99982953
31,licit,604,0.025355315,0.0009233525,0.996394
31,unknown,2106,0.204957,0.06439869,0.9996401
32,illicit,342,0.99589825,0.9989961,0.99991536
32,licit,981,0.014048577,0.0011512318,0.8881914
32,unknown,3202,0.21617828,0.052004553,0.9997849
33,illicit,23,0.9595173,0.99858487,0.99976736
33,licit,418,0.0077978,0.00016261781,0.35470456
33,unknown,2710,0.06689934,0.012503631,0.9998031
34,illicit,37,0.97911227,0.9917562,0.99979395
34,licit,478,0.010459721,0.0002966925,0.8065205
34,unknown,1971,0.20770761,0.073051326,0.99986136
35,illicit,182,0.9708881,0.9987649,0.999882
35,licit,1159,0.026084434,0.00078974746,0.97419715
35,unknown,4166,0.17470847,0.0342637,0.99950564
36,illicit,33,0.9857468,0.9984207,0.9997398
36,licit,1675,0.028977664,0.00081278477,0.923664
36,unknown,4685,0.14600644,0.024206748,0.9998357
37,illicit,40,0.7151953,0.99381334,0.9998735
37,licit,458,0.020002514,0.00056818925,0.882208
37,unknown,2808,0.10396527,0.0062296255,0.9994154
38,illicit,111,0.8886208,0.9919891,0.9996629
38,licit,645,0.02697704,0.0006920086,0.8017302
38,unknown,2135,0.1856938,0.02918772,0.9982498
39,illicit,81,0.89545065,0.98101634,0.99813026
39,licit,1102,0.03308458,0.00026307668,0.9381631
39,unknown,1577,0.2705219,0.10430192,0.9990922
40,illicit,112,0.673851,0.98157597,0.99914193
