model,family,split,accuracy,precision,recall,f1,pr_auc,roc_auc,recall_at_50,recall_at_100,recall_at_500,recall_at_1000
XGBoost baseline,baseline_classic,test,0.9569053274516457,0.5365853658536586,0.4852941176470588,0.5096525096525096,0.5614390083383461,0.8733779293764227,0.12254901960784313,0.24509803921568626,0.5049019607843137,0.5588235294117647
XGBoost original+subgraph,subgraph_enriched,test,0.957018436828413,0.5380434782608695,0.4852941176470588,0.5103092783505154,0.5502550550137272,0.8608908047981436,0.12254901960784313,0.23774509803921567,0.5,0.553921568627451
Random Forest original+subgraph,subgraph_enriched,test,0.9740979527202805,0.958974358974359,0.4583333333333333,0.6202321724709784,0.5480719796076682,0.8643729814942697,0.12254901960784313,0.24509803921568626,0.4852941176470588,0.5318627450980392
Random Forest baseline,baseline_classic,test,0.9740979527202805,0.958974358974359,0.4583333333333333,0.6202321724709784,0.5475102669081868,0.8514482960265809,0.12254901960784313,0.24509803921568626,0.49019607843137253,0.5294117647058824
GCN 3A supervised-only,gnn_node,test,0.6303585567243525,0.09072696050372066,0.7769607843137255,0.16248077908764735,0.25301622543529845,0.7996627976460358,0.051470588235294115,0.10049019607843138,0.39705882352941174,0.4730392156862745
GraphSAGE 3B full-context,gnn_node_full_context,test,0.6672322135505033,0.0985424588086185,0.7622549019607843,0.1745230078563412,0.2521824648909552,0.8054294171125109,0.07352941176470588,0.13970588235294118,0.35049019607843135,0.4387254901960784
Logistic Regression baseline,baseline_classic,test,0.7277457301210271,0.12354048964218456,0.803921568627451,0.21416911524649038,0.19903740762801447,0.8552718312511771,0.007352941176470588,0.051470588235294115,0.375,0.5171568627450981
GraphSAGE 3A supervised-only,gnn_node,test,0.6178034159031783,0.08975421154377244,0.7965686274509803,0.16133035492678083,0.195461769533762,0.7906404112694527,0.041666666666666664,0.06372549019607843,0.3602941176470588,0.4730392156862745
GCN 3B full-context,gnn_node_full_context,test,0.7210722768917543,0.11489520958083832,0.7524509803921569,0.19935064935064936,0.1535156959496316,0.7979651602132611,0.012254901960784314,0.041666666666666664,0.23774509803921567,0.4264705882352941
XGBoost subgraph-only,subgraph_baseline,test,0.783961090374392,0.10095642933049948,0.46568627450980393,0.16593886462882096,0.11331758369288913,0.7300582096944078,0.022058823529411766,0.061274509803921566,0.16666666666666666,0.2696078431372549
Random Forest subgraph-only,subgraph_baseline,test,0.8565773102590205,0.08171206225680934,0.20588235294117646,0.116991643454039,0.06988285525698029,0.6410376020442565,0.004901960784313725,0.024509803921568627,0.09803921568627451,0.17647058823529413
