split,error_type,count,split_total,percentage
test,FN_illicit_missed,165,6687,0.024674742036787798
test,FP_licit_alerted,136,6687,0.020337969193958427
test,TN_licit_correct,6382,6687,0.9543891132047256
test,TP_illicit_detected,4,6687,0.000598175564528189
train,FN_illicit_missed,1,29894,3.3451528734863186e-05
train,FP_licit_alerted,71,29894,0.002375058540175286
train,TN_licit_correct,26361,29894,0.8818157489797284
train,TP_illicit_detected,3461,29894,0.11577574095136148
validation,FN_illicit_missed,122,9983,0.01222077531804067
validation,FP_licit_alerted,124,9983,0.012421115897024942
validation,TN_licit_correct,8945,9983,0.8960232395071622
validation,TP_illicit_detected,792,9983,0.07933486927777221
