split,k,recall_at_k,num_records_split,num_illicit_split
train,50,0.014442518775274409,29894,3462
train,100,0.028885037550548817,29894,3462
train,200,0.057770075101097634,29894,3462
train,500,0.14442518775274407,29894,3462
train,1000,0.28885037550548814,29894,3462
train,2000,0.5777007510109763,29894,3462
train,5000,1.0,29894,3462
validation,50,0.05470459518599562,9983,914
validation,100,0.10940919037199125,9983,914
validation,200,0.2188183807439825,9983,914
validation,500,0.5470459518599562,9983,914
validation,1000,0.8763676148796499,9983,914
validation,2000,0.9234135667396062,9983,914
validation,5000,0.9956236323851203,9983,914
test,50,0.023668639053254437,6687,169
test,100,0.023668639053254437,6687,169
test,200,0.04142011834319527,6687,169
test,500,0.11242603550295859,6687,169
test,1000,0.21893491124260356,6687,169
test,2000,0.5739644970414202,6687,169
test,5000,1.0,6687,169
