feature,mean_abs_shap,mean_shap,feature_group,rank_shap_importance
f_52,0.82801014,-0.5123726,elliptic_original_feature,1
f_58,0.5556044,-0.30399922,elliptic_original_feature,2
f_124,0.5381251,-0.46098384,elliptic_original_feature,3
f_89,0.4321077,-0.3761357,elliptic_original_feature,4
f_2,0.36315963,0.14192392,elliptic_original_feature,5
f_160,0.32638195,-0.20889628,elliptic_original_feature,6
f_45,0.3210248,-0.2194928,elliptic_original_feature,7
f_131,0.3043322,-0.27043623,elliptic_original_feature,8
f_15,0.28433204,-0.22590955,elliptic_original_feature,9
f_57,0.25943738,-0.21690033,elliptic_original_feature,10
f_4,0.2564303,-0.18881357,elliptic_original_feature,11
f_51,0.24767777,-0.17037298,elliptic_original_feature,12
f_105,0.24341477,-0.23035963,elliptic_original_feature,13
f_162,0.22787103,-0.085477866,elliptic_original_feature,14
f_1,0.2136751,0.013435075,elliptic_original_feature,15
f_79,0.2073998,-0.11246939,elliptic_original_feature,16
f_22,0.20336089,-0.15010045,elliptic_original_feature,17
f_40,0.19823769,-0.08794429,elliptic_original_feature,18
f_21,0.18500306,-0.14208709,elliptic_original_feature,19
f_66,0.17119843,-0.14419854,elliptic_original_feature,20
f_7,0.16933838,-0.06320509,elliptic_original_feature,21
f_88,0.16403455,-0.086841635,elliptic_original_feature,22
f_54,0.15874188,-0.12338768,elliptic_original_feature,23
f_120,0.15742238,-0.0616822,elliptic_original_feature,24
f_137,0.15696253,0.0039847605,elliptic_original_feature,25
f_130,0.14841412,-0.12237207,elliptic_original_feature,26
f_87,0.14631861,-0.07091617,elliptic_original_feature,27
f_126,0.145921,0.026404452,elliptic_original_feature,28
f_17,0.14248161,-0.07959465,elliptic_original_feature,29
f_28,0.13886912,-0.09087551,elliptic_original_feature,30
f_46,0.13140877,-0.07791141,elliptic_original_feature,31
f_142,0.118467405,-0.09002097,elliptic_original_feature,32
f_42,0.115760334,-0.066753104,elliptic_original_feature,33
f_100,0.112234876,-0.111372575,elliptic_original_feature,34
f_0,0.1102013,-0.07069486,elliptic_original_feature,35
f_63,0.09855033,-0.06516293,elliptic_original_feature,36
f_71,0.09555582,0.02171359,elliptic_original_feature,37
f_135,0.093427904,-0.09338564,elliptic_original_feature,38
f_18,0.09317241,-0.047749348,elliptic_original_feature,39
f_8,0.09262807,-0.05401645,elliptic_original_feature,40
f_154,0.09260602,-0.062451046,elliptic_original_feature,41
f_75,0.092415795,-0.05096045,elliptic_original_feature,42
f_78,0.08770822,0.0049274955,elliptic_original_feature,43
f_39,0.08656403,-0.08047365,elliptic_original_feature,44
f_158,0.08547149,-0.050077412,elliptic_original_feature,45
f_108,0.084069684,-0.076541826,elliptic_original_feature,46
f_12,0.08152899,-0.017985739,elliptic_original_feature,47
f_64,0.07879283,-0.050883602,elliptic_original_feature,48
f_102,0.07712702,0.0753418,elliptic_original_feature,49
f_60,0.07279468,-0.0112490775,elliptic_original_feature,50
f_83,0.07186536,-0.024226665,elliptic_original_feature,51
f_106,0.06967153,-0.05006274,elliptic_original_feature,52
f_53,0.06859215,-0.06840329,elliptic_original_feature,53
f_148,0.058100678,-0.016041629,elliptic_original_feature,54
f_76,0.055062857,-0.025889492,elliptic_original_feature,55
f_30,0.05354486,-0.030055199,elliptic_original_feature,56
f_157,0.052579876,-0.025373738,elliptic_original_feature,57
f_144,0.05126782,-0.028370637,elliptic_original_feature,58
f_82,0.051016275,-0.020732312,elliptic_original_feature,59
f_48,0.050497744,-0.045189045,elliptic_original_feature,60
f_94,0.050065447,-0.042761315,elliptic_original_feature,61
f_138,0.048281316,0.03273399,elliptic_original_feature,62
f_13,0.04746355,-0.030565113,elliptic_original_feature,63
f_141,0.04672614,-0.027132325,elliptic_original_feature,64
f_99,0.0463982,0.044731215,elliptic_original_feature,65
f_129,0.04501859,-0.034783766,elliptic_original_feature,66
f_164,0.044974778,-0.017869351,elliptic_original_feature,67
f_3,0.044795778,-0.032633636,elliptic_original_feature,68
f_96,0.04452826,-0.036344826,elliptic_original_feature,69
f_153,0.04434159,-0.018393816,elliptic_original_feature,70
f_163,0.044102695,-0.0057994532,elliptic_original_feature,71
f_27,0.04321558,-0.016280621,elliptic_original_feature,72
total_degree,0.043108243,-0.019065062,graph_degree_feature,73
f_101,0.042898443,-0.028145464,elliptic_original_feature,74
f_24,0.04217493,-0.036770165,elliptic_original_feature,75
f_136,0.039248686,-0.030806864,elliptic_original_feature,76
f_10,0.038781606,-0.0281938,elliptic_original_feature,77
f_9,0.038255468,-0.035484944,elliptic_original_feature,78
f_113,0.03812952,-0.023416808,elliptic_original_feature,79
f_65,0.03776942,-0.033086643,elliptic_original_feature,80
f_143,0.033726376,-0.023178898,elliptic_original_feature,81
f_93,0.032884147,-0.00074809155,elliptic_original_feature,82
f_107,0.03028334,0.0066203834,elliptic_original_feature,83
f_150,0.030161843,0.008702839,elliptic_original_feature,84
f_59,0.029946772,0.00077711645,elliptic_original_feature,85
f_147,0.02956784,0.00955276,elliptic_original_feature,86
f_118,0.029244851,-0.01926673,elliptic_original_feature,87
f_156,0.028942782,-0.004748674,elliptic_original_feature,88
